,date,time,menu
0,2022. 06. 21. (화),오후 09:19:35,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 오징어튀김 2개', '┗ 해쉬브라운 2개', '┗ 파마산치즈+오리지널 (맛선택)']"
1,2022. 06. 21. (화),오후 01:40:49,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ 쿨피스 350ml', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 직화양념(매콤) 지코X스타일', '┗ 안매운양념 (맛선택)']"
2,2022. 06. 20. (월),오후 01:12:17,"['[ 세가지맛 ] 타코야끼 36알\n1개', '┗ 36알', '┗ 가쓰오부시 추가', '┗ 청양마요 (맛선택)', '┗ 대파+오리지널 (맛선택)', '┗ 파마산치즈+오리지널 (맛선택)', '┗ 파마산치즈 (토핑추가)', '┗ ㄹl뷰 ㅇl벤트(쿨피스350ml)']"
3,2022. 06. 20. (월),오후 12:36:40,"['타코야끼12알 + 미니떡볶이 + 음료1\n1개', '┗ 대파+오리지널 (맛선택)', '┗ 펩시콜라 500ml', '┗ 약한맛']"
4,2022. 06. 19. (일),오후 10:28:46,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 소떡소떡 1개', '┗ 해쉬브라운 2개', '┗ 매콤양념 (맛선택)']"
5,2022. 06. 19. (일),오후 09:00:26,"['타코야끼12알+미니떡볶이+음료1개\n1개', '┗ 약한맛', '┗ 쿨피스 350ml', '┗ 오리지널 (맛선택)']"
6,2022. 06. 19. (일),오후 06:22:20,"['치밥 도시락\n1개', '┗ 갈비천왕', '타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ 쿨피스 350ml', '┗ 오리지널 (맛선택)', '┗ 양념치킨', '왕오징어튀김\n1개', '┗ 2개', '미니 떡볶이\n1개', '┗ 약한맛', '김말이 4개\n1개', '우유튀김 5개\n1개']"
7,2022. 06. 19. (일),오전 11:03:27,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 스노윙 치즈볼 4개', '┗ 소떡소떡 1개', '┗ 청양마요 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 오리지널 (맛선택)', '소떡소떡\n1개', '┗ 1개']"
8,2022. 06. 18. (토),오후 09:05:11,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 청양마요 (맛선택)', '┗ 매콤양념 (맛선택)', '乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 오리지널 (맛선택)']"
9,2022. 06. 18. (토),오후 08:12:37,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 계란찜', '┗ 한입핫도그 5개', '┗ 청양마요 (맛선택)', '┗ 대파 (토핑추가)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)']"
10,2022. 06. 18. (토),오후 07:59:19,"['乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 오리지널 (맛선택)', '치즈스틱 5개\n1개', '쿨피스 캔\n1개', '┗ 350ml']"
11,2022. 06. 18. (토),오후 07:22:00,"['타코야끼12알+튀김(선택)+음료1개\n1개', '┗ 오리지널 (맛선택)', '┗ 모듬튀김7개 (김말이1,오뎅튀김2,오징어1,야끼2,고구마1)', '┗ 쿨피스 350ml']"
12,2022. 06. 18. (토),오후 06:57:49,"['[ 네가지맛 ] 타코 야끼 24~48알\n1개', '┗ 24알 (6알씩 X 4가지맛)', '┗ 청양마요 (맛선택)', '┗ 안매운양념 (맛선택)', '┗ 매콤양념 (맛선택)', '┗ 오리지널 (맛선택)']"
13,2022. 06. 18. (토),오후 03:06:05,"['타코야끼12알+미니떡볶이+음료1개\n1개', '┗ 매콤양념 (맛선택)', '┗ 쿨피스 350ml', '┗ 중간맛']"
14,2022. 06. 18. (토),오후 02:41:02,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 오리지널 (맛선택)', '┗ 펩시콜라 355ml', '┗ 매콤 마늘간장']"
15,2022. 06. 18. (토),오후 01:36:45,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ 계란찜', '┗ 소떡소떡 1개', '┗ 우유튀김 5개', '┗ 청양마요 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 매콤 마늘간장', '┗ 쿨피스 350ml', '乃乃타코야끼12알 [배달타코야끼 맛집]\n1개', '┗ 12알', '┗ 소떡소떡 1개', '┗ 오리지널 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)']"
16,2022. 06. 17. (금),오후 08:56:15,"['우유튀김 5개\n1개', '고구마튀김 4개\n1개', '소떡소떡\n1개', '┗ 1개', '[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 청양고추+오리지널 (맛선택)', '┗ 안매운양념 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)']"
17,2022. 06. 17. (금),오후 08:11:54,"['[ 세가지맛 ] 타코야끼 36알\n1개', '┗ 36알', '┗ 소떡소떡 1개', '┗ 김말이 4개', '┗ 바베큐 (맛선택)', '┗ 매콤양념 (맛선택)', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 오리지널 (맛선택)']"
18,2022. 06. 17. (금),오후 07:30:57,"['타코야끼12알 + 치밥 도시락 + 음료1\n1개', '┗ ㄹl뷰 ㅇl벤트 (타코알 4알)', '┗ 직화양념(매콤) 지코X스타일', '┗ 오리지널 (맛선택)', '┗ 쿨피스 350ml']"
19,2022. 06. 17. (금),오후 07:00:57,"['[][]반반 타코야끼12알[][] [두가지맛]\n1개', '┗ 12알', '┗ 15cm새우튀김 2개', '┗ 한입핫도그 5개', '┗ 오리지널 (맛선택)', '┗ 매콤양념 (맛선택)']"
